,station,region,region_code,location,coordinates,latitude,longitude
104,Житикара,Костанайская область,KZ-KUS,"Житикара, Костанайская область, Казахстан","Жітіқара, Жітіқара ауданы, Қостанай облысы, 110700, Қазақстан",52.1856061,61.1893675
105,Карабалык,Костанайская область,KZ-KUS,"Карабалык, Костанайская область, Казахстан","Қарабалық, Қарабалық ауданы, Қостанай облысы, 110900, Қазақстан",53.748184,62.062511
106,Караменды,Костанайская область,KZ-KUS,"Караменды, Костанайская область, Казахстан","Караменды, Карамендинский сельский округ, Наурзумский район - Наурызым ауданы, Қостанай облысы, Қазақстан",51.65853955,64.2252388562094
107,Карасу,Костанайская область,KZ-KUS,"Карасу, Костанайская область, Казахстан","Карасу, Қарасу ауданы, Қостанай облысы, Қазақстан",52.658371,65.484154
108,Костанай,Костанайская область,KZ-KUS,"Костанай, Костанайская область, Казахстан","Қостанай Қ.Ә., Қостанай облысы, Қазақстан",53.2146604,63.632607
109,Кушмурун,Костанайская область,KZ-KUS,"Кушмурун, Костанайская область, Казахстан","Құсмұрын, Аулиекольский район - Әулиекөл ауданы, Қостанай облысы, 110406, Қазақстан",52.451801,64.615204
110,Михайловка,Костанайская область,KZ-KUS,"Михайловка, Костанайская область, Казахстан","Михайловка, Қарабалық ауданы, Қостанай облысы, Қазақстан",53.586182,61.671124
111,Пресногорьковка,Костанайская область,KZ-KUS,"Пресногорьковка, Костанайская область, Казахстан","Пресногорьковка, Ұзынкөл ауданы, Қостанай облысы, Қазақстан",54.498322,65.761513
112,Рудный,Костанайская область,KZ-KUS,"Рудный, Костанайская область, Казахстан","Рудный, Қостанай облысы, Қазақстан",52.97281275998656,63.11421875684865
113,Сарыколь,Костанайская область,KZ-KUS,"Сарыколь, Костанайская область, Казахстан","Сарыколь, Сарыкольский район - Сарыкөл ауданы, Қостанай облысы, 111600, Қазақстан",53.317356,65.546844
114,Тобол,Костанайская область,KZ-KUS,"Тобол, Костанайская область, Казахстан","Тобыл, Бейімбет Майлин ауданы, Қостанай облысы, 111715, Қазақстан",52.693645,62.594765
115,Торгай,Костанайская область,KZ-KUS,"Торгай, Костанайская область, Казахстан","Торгай, Жангелдин ауданы, Қостанай облысы, Қазақстан",49.633447732380965,63.49051503911955
116,Арал тенизи,Кызылординская область,KZ-KZY,"Арал тенизи, Кызылординская область, Казахстан","Aral teńizi - Арал теңізі, Арал ауданы, Қызылорда облысы, Қазақстан",45.0813792,60.220418181112095
117,Жосалы,Кызылординская область,KZ-KZY,"Жосалы, Кызылординская область, Казахстан","Жосалы, Қармақшы ауданы, Қызылорда облысы, 120500, Қазақстан",45.484024,64.0849
118,Злиха,Кызылординская область,KZ-KZY,"Злиха, Кызылординская область, Казахстан","Злиха, Шиелі ауданы, Қызылорда облысы, Қазақстан",45.2221889,66.8761269
119,Казалы,Кызылординская область,KZ-KZY,"Казалы, Кызылординская область, Казахстан","Қазалы, Казалинская городская администрация, Қазалы ауданы, Қызылорда облысы, Қазақстан",45.76255,62.101181
120,Карак,Кызылординская область,KZ-KZY,"Карак, Кызылординская область, Казахстан",,44.66318165,63.13428105
121,Каукей,Кызылординская область,KZ-KZY,"Каукей, Кызылординская область, Казахстан","Кәукей, Қазалы ауданы, Қызылорда облысы, Қазақстан",45.263046,61.76088
122,Куланды,Кызылординская область,KZ-KZY,"Куланды, Кызылординская область, Казахстан","Құланды, Арал ауданы, Қызылорда облысы, Қазақстан",46.09552,59.515881
123,Кызылорда,Кызылординская область,KZ-KZY,"Кызылорда, Кызылординская область, Казахстан","Қызылорда Қ.Ә., Қызылорда облысы, Қазақстан",44.8426778,65.5036151
124,Шиели,Кызылординская область,KZ-KZY,"Шиели, Кызылординская область, Казахстан","Шиелі, Шиелі ауданы, Қызылорда облысы, Қазақстан",44.176025,66.740959
125,Актау,Мангистауская область,KZ-MAN,"Актау, Мангистауская область, Казахстан","Ақтау Қ.Ә., Маңғыстау облысы, Қазақстан",43.6353364,51.168222
126,Бейнеу,Мангистауская область,KZ-MAN,"Бейнеу, Мангистауская область, Казахстан","Бейнеу, Бейнеу ауданы, Маңғыстау облысы, Қазақстан",45.27765445,55.18331346192697
127,"Кулалы, о-в",Мангистауская область,KZ-MAN,"Кулалы, о-в, Мангистауская область, Казахстан",,45.00493971,50.09500866
128,Кызан,Мангистауская область,KZ-MAN,"Кызан, Мангистауская область, Казахстан","Кызан, Мангистауский район - Маңғыстау ауданы, Маңғыстау облысы, Қазақстан",44.889339,52.674557
129,Сам,Мангистауская область,KZ-MAN,"Сам, Мангистауская область, Казахстан","Сам, Бейнеу ауданы, Маңғыстау облысы, Қазақстан",45.235733,55.868206
130,Тущибек,Мангистауская область,KZ-MAN,"Тущибек, Мангистауская область, Казахстан",,44.13431003,51.94232685
131,Форт-Шевченко,Мангистауская область,KZ-MAN,"Форт-Шевченко, Мангистауская область, Казахстан","Форт-Шевченко, Түпқараған ауданы, Маңғыстау облысы, Қазақстан",44.508556,50.261929
132,Актогай,Павлодарская область,KZ-PAV,"Актогай, Павлодарская область, Казахстан","Актогай, Ақтоғай ауданы, Павлодар облысы, Қазақстан",46.9550424,79.67825069
133,Баянауыл,Павлодарская область,KZ-PAV,"Баянауыл, Павлодарская область, Казахстан","Баянауыл, Баянауыл ауданы, Павлодар облысы, 140300, Қазақстан",50.7928518,75.702764
134,Голубовка,Павлодарская область,KZ-PAV,"Голубовка, Павлодарская область, Казахстан","Голубовка, Ертіс ауданы, Павлодар облысы, Қазақстан",53.123211,74.191833
135,Екибастуз,Павлодарская область,KZ-PAV,"Екибастуз, Павлодарская область, Казахстан","Екібастұз, Павлодар облысы, Қазақстан",51.7232548,75.31206910579542
136,Ертис,Павлодарская область,KZ-PAV,"Ертис, Павлодарская область, Казахстан","Ертіс, Аққулы ауданы, Павлодар облысы, Қазақстан",53.33850752440356,75.44831402667653
137,Жолболды,Павлодарская область,KZ-PAV,"Жолболды, Павлодарская область, Казахстан","Жолболды, Ақтоғай ауданы, Павлодар облысы, Қазақстан",52.7957557,74.8941421
138,Коктобе,Павлодарская область,KZ-PAV,"Коктобе, Павлодарская область, Казахстан","Көктөбе, Май ауданы, Павлодар облысы, Қазақстан",51.5303291,77.4680696
139,Красноармейка,Павлодарская область,KZ-PAV,"Красноармейка, Павлодарская область, Казахстан","Красноармейка, Павлодар ауданы, Павлодар облысы, Қазақстан",52.35642248997412,77.27400040795526
140,Лозовая,Павлодарская область,KZ-PAV,"Лозовая, Павлодарская область, Казахстан",,53.29619182034958,77.77242095666067
141,Михайловка,Павлодарская область,KZ-PAV,"Михайловка, Павлодарская область, Казахстан","Михайловка, Железин ауданы, Павлодар облысы, Қазақстан",53.827221,76.546944
142,Павлодар,Павлодарская область,KZ-PAV,"Павлодар, Павлодарская область, Казахстан","Павлодар Қ.Ә., Павлодар облысы, Қазақстан",52.2857573,76.9455035
143,Успенка,Павлодарская область,KZ-PAV,"Успенка, Павлодарская область, Казахстан","Успенка, Успенский район - Успен ауданы, Павлодар облысы, 141000, Қазақстан",52.9068212,77.4191177
144,Федоровка,Павлодарская область,KZ-PAV,"Федоровка, Павлодарская область, Казахстан","Фёдоровка, Теренкольский район - Тереңкөл ауданы, Павлодар облысы, Қазақстан",53.3699966,76.3162278
145,Шалдай,Павлодарская область,KZ-PAV,"Шалдай, Павлодарская область, Казахстан","Шалдай, Щербактинский район - Шарбақты ауданы, Павлодар облысы, Қазақстан",51.9257903,78.8162429
146,Шарбакты,Павлодарская область,KZ-PAV,"Шарбакты, Павлодарская область, Казахстан","Шарбакты, Щербактинский район - Шарбақты ауданы, Павлодар облысы, Қазақстан",52.4894141,78.159375
147,Благовещенка,Северо-Казахстанская область,KZ-SEV,"Благовещенка, Северо-Казахстанская область, Казахстан","Благовещенка, Жамбыл ауданы, Солтүстік Қазақстан облысы, Қазақстан",54.369076,66.97139
148,Возвышенка,Северо-Казахстанская область,KZ-SEV,"Возвышенка, Северо-Казахстанская область, Казахстан","Возвышенка, Мағжан Жұмабаев ауданы, Солтүстік Қазақстан облысы, Қазақстан",54.437664,70.941399
149,Кишкенеколь,Северо-Казахстанская область,KZ-SEV,"Кишкенеколь, Северо-Казахстанская область, Казахстан","Кишкенеколь, Уәлиханов ауданы, Солтүстік Қазақстан облысы, Қазақстан",53.6357326,72.3411085
150,Петропавловск,Северо-Казахстанская область,KZ-SEV,"Петропавловск, Северо-Казахстанская область, Казахстан","Петропавл қ.а., Солтүстік Қазақстан облысы, 150000, Қазақстан",54.8668104,69.1334984
151,Рузаевка,Северо-Казахстанская область,KZ-SEV,"Рузаевка, Северо-Казахстанская область, Казахстан","Рузаевка, Ғабит Мүсірепов ауданы, Солтүстік Қазақстан облысы, 150424, Қазақстан",52.821907,66.952431
152,Саумалколь,Северо-Казахстанская область,KZ-SEV,"Саумалколь, Северо-Казахстанская область, Казахстан","Саумалколь, Айыртау ауданы, Солтүстік Қазақстан облысы, Қазақстан",53.2940231,68.1060457
153,Сергеевка,Северо-Казахстанская область,KZ-SEV,"Сергеевка, Северо-Казахстанская область, Казахстан","Сергеевка, Шал ақын ауданы, Солтүстік Қазақстан облысы, 151300, Қазақстан",53.880951,67.415863
154,Тайынша,Северо-Казахстанская область,KZ-SEV,"Тайынша, Северо-Казахстанская область, Казахстан","Тайынша, Тайынша ауданы, Солтүстік Қазақстан облысы, Қазақстан",53.847736,69.761436
155,Тимирязево,Северо-Казахстанская область,KZ-SEV,"Тимирязево, Северо-Казахстанская область, Казахстан","Тимирязев, Тимирязевский район - Тимирязев ауданы, Солтүстік Қазақстан облысы, Қазақстан",53.7478443,66.4960466
156,Чкалово,Северо-Казахстанская область,KZ-SEV,"Чкалово, Северо-Казахстанская область, Казахстан","Чкалово, Тайынша ауданы, Солтүстік Қазақстан облысы, Қазақстан",53.625412,70.43367
157,Явленка,Северо-Казахстанская область,KZ-SEV,"Явленка, Северо-Казахстанская область, Казахстан","Явленка, Явлен ауылдық округі, Есіл ауданы, Солтүстік Қазақстан облысы, Қазақстан",54.3462508,68.4566996
158,Kокпекты,Восточно-Казахстанская область,KZ-VOS,"Kокпекты, Восточно-Казахстанская область, Казахстан",,48.75376634386964,82.38337095262796
